" ;"" "";"" "";""SLOVENIJA"";""Zahodna Slovenija"";""..Obalno-kraška"";""..Goriška"";""..Gorenjska"";""..Osrednjeslovenska"";""Vzhodna Slovenija"";""..Notranjsko-kraška"";""..Jugovzhodna Slovenija"";""..Spodnjeposavska"";""..Zasavska"";""..Savinjska"";""..Koroška"";""..Podravska"";""..Pomurska""",,,
2000,,,
" ;"" "";""F Gradbeništvo"";6.0;5.7;7.2;8.3;4.7;5.3;6.4;7.5;6.0;6.7;6.0;6.7;4.1;6.5;6.8",,,
" ;"" "";""GHI Trgovina", gostinstvo," promet"";19.1;21.9;33.8;14.9;21.3;21.3;15.9;16.2;12.2;13.5;11.5;17.5;14.8;17.1;17.8",
" ;"" "";""J Informacijske in komunikacijske dejavnosti"";3.7;5.4;2.8;1.4;1.7;7.4;1.7;0.8;1.1;0.5;2.2;1.6;0.9;2.6;1.7",,,
" ;"" "";""K Finanène in zavarovalniške dejavnosti"";4.5;5.4;4.8;3.8;2.8;6.5;3.3;2.6;2.4;1.9;3.1;2.7;2.3;5.0;3.0",,,
" ;"" "";""L Poslovanje z nepremièninami"";7.8;6.9;7.6;8.1;8.6;6.2;8.9;10.3;7.9;8.5;9.5;8.3;8.8;9.1;11.1",,,
" ;"" "";""MN Strokovne", znanstvene," tehniène in druge posl. dejavnosti"";8.2;9.5;6.2;5.1;5.7;11.9;6.6;4.8;8.2;5.6;7.2;4.7;4.4;8.9;4.5",
" ;"" "";""OPQ Uprava in obramba", obv. soc. varnost, izob.," zdravstvo"";16.4;17.5;15.1;13.7;13.9;19.5;15.0;14.8;14.0;13.3;13.4;13.6;14.8;16.9;16.7"
" ;"" "";""RSTU Druge dejavnosti"";2.9;3.9;4.3;9.0;3.1;3.2;1.7;1.3;1.2;1.3;1.5;2.0;1.7;2.0;1.5",,,
2003,,,
" ;""Mio EUR (fiksni teèaj 2007)""",,,
" ;"" "";""Skupaj dejavnosti"";22001;12152;1237;1267;1947;7701;9849;421;1443;645;360;2511;653;2887;931",,,
" ;"" "";""A Kmetijstvo"," gozdarstvo in ribištvo"";540;164;17;39;38;71;376;29;67;31;6;74;22;82;65",,
" ;"" "";""BCDE Predelovalne dejavnosti"," rudarstvo in druga industrija"";6215;2672;205;403;703;1361;3543;145;615;272;162;989;286;811;262",,
" ;"" "";""..od tega: C Predelovalne dejavnosti"";5377;2408;174;365;665;1203;2970;138;601;134;108;788;252;704;244",,,
" ;"" "";""F Gradbeništvo"";1372;712;92;105;95;420;660;31;92;44;18;175;31;202;67",,,
" ;"" "";""GHI Trgovina", gostinstvo," promet"";4258;2663;409;193;422;1639;1595;68;177;90;41;449;101;503;166",
" ;"" "";""J Informacijske in komunikacijske dejavnosti"";833;664;36;19;33;576;169;4;16;3;8;39;6;76;17",,,
" ;"" "";""K Finanène in zavarovalniške dejavnosti"";997;669;66;46;58;499;327;11;28;12;12;68;15;145;36",,,
" ;"" "";""L Poslovanje z nepremièninami"";1663;800;90;100;161;449;863;42;110;56;34;205;56;261;100",,,
" ;"" "";""MN Strokovne", znanstvene," tehniène in druge posl. dejavnosti"";1844;1193;78;61;114;940;651;20;121;36;27;121;27;252;46",
" ;"" "";""OPQ Uprava in obramba", obv. soc. varnost, izob.," zdravstvo"";3650;2144;186;180;269;1509;1505;65;200;91;48;344;98;500;158"
" ;"" "";""RSTU Druge dejavnosti"";630;471;58;121;55;237;159;5;15;8;5;46;10;55;14",,,
" ;""Struktura po regijah (Slovenija = 100%)""",,,
" ;"" "";""Skupaj dejavnosti"";100.0;55.2;5.6;5.8;8.8;35.0;44.8;1.9;6.6;2.9;1.6;11.4;3.0;13.1;4.2",,,
" ;"" "";""A Kmetijstvo"," gozdarstvo in ribištvo"";100.0;30.3;3.1;7.1;7.0;13.1;69.7;5.3;12.4;5.8;1.1;13.7;4.1;15.3;12.0",,
" ;"" "";""BCDE Predelovalne dejavnosti"," rudarstvo in druga industrija"";100.0;43.0;3.3;6.5;11.3;21.9;57.0;2.3;9.9;4.4;2.6;15.9;4.6;13.0;4.2",,
" ;"" "";""..od tega: C Predelovalne dejavnosti"";100.0;44.8;3.2;6.8;12.4;22.4;55.2;2.6;11.2;2.5;2.0;14.7;4.7;13.1;4.5",,,
" ;"" "";""F Gradbeništvo"";100.0;51.9;6.7;7.7;6.9;30.6;48.1;2.3;6.7;3.2;1.3;12.7;2.2;14.7;4.9",,,
" ;"" "";""GHI Trgovina", gostinstvo," promet"";100.0;62.5;9.6;4.5;9.9;38.5;37.5;1.6;4.2;2.1;1.0;10.5;2.4;11.8;3.9",
" ;"" "";""J Informacijske in komunikacijske dejavnosti"";100.0;79.7;4.3;2.3;4.0;69.1;20.3;0.5;1.9;0.4;0.9;4.7;0.7;9.1;2.0",,,
" ;"" "";""K Finanène in zavarovalniške dejavnosti"";100.0;67.2;6.7;4.6;5.8;50.1;32.8;1.1;2.8;1.2;1.2;6.8;1.5;14.5;3.6",,,
" ;"" "";""L Poslovanje z nepremièninami"";100.0;48.1;5.4;6.0;9.7;27.0;51.9;2.5;6.6;3.3;2.0;12.3;3.4;15.7;6.0",,,
" ;"" "";""MN Strokovne", znanstvene," tehniène in druge posl. dejavnosti"";100.0;64.7;4.2;3.3;6.2;51.0;35.3;1.1;6.6;2.0;1.4;6.6;1.5;13.7;2.5",
" ;"" "";""OPQ Uprava in obramba", obv. soc. varnost, izob.," zdravstvo"";100.0;58.8;5.1;4.9;7.4;41.3;41.2;1.8;5.5;2.5;1.3;9.4;2.7;13.7;4.3"
" ;"" "";""RSTU Druge dejavnosti"";100.0;74.7;9.2;19.2;8.7;37.6;25.3;0.8;2.5;1.2;0.8;7.4;1.7;8.8;2.1",,,
" ;""Struktura po dejavnostih (%)""",,,
" ;"" "";""Skupaj dejavnosti"";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0",,,
" ;"" "";""A Kmetijstvo"," gozdarstvo in ribištvo"";2.5;1.3;1.4;3.0;1.9;0.9;3.8;6.8;4.6;4.8;1.6;3.0;3.4;2.9;7.0",,
" ;"" "";""BCDE Predelovalne dejavnosti"," rudarstvo in druga industrija"";28.2;22.0;16.6;31.8;36.1;17.7;36.0;34.5;42.7;42.3;45.2;39.4;43.8;28.1;28.1",,
" ;"" "";""..od tega: C Predelovalne dejavnosti"";24.4;19.8;14.1;28.8;34.2;15.6;30.1;32.8;41.6;20.7;30.0;31.4;38.6;24.4;26.3",,,
" ;"" "";""F Gradbeništvo"";6.2;5.9;7.4;8.3;4.9;5.5;6.7;7.4;6.4;6.9;5.0;7.0;4.7;7.0;7.2",,,
" ;"" "";""GHI Trgovina", gostinstvo," promet"";19.4;21.9;33.0;15.2;21.7;21.3;16.2;16.2;12.3;14.0;11.3;17.9;15.5;17.4;17.8",
" ;"" "";""J Informacijske in komunikacijske dejavnosti"";3.8;5.5;2.9;1.5;1.7;7.5;1.7;0.9;1.1;0.5;2.2;1.6;1.0;2.6;1.8",,,
" ;"" "";""K Finanène in zavarovalniške dejavnosti"";4.5;5.5;5.4;3.6;3.0;6.5;3.3;2.7;2.0;1.9;3.3;2.7;2.3;5.0;3.9",,,
" ;"" "";""L Poslovanje z nepremièninami"";7.6;6.6;7.3;7.9;8.3;5.8;8.8;10.1;7.6;8.6;9.3;8.2;8.6;9.0;10.8",,,
